FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
0,SASI1247,pa__mt,pa,46063.673906500000157,84335809.111200004816055
1,SASI1256,mt____,mt,71970.603742199993576,197982377.981000006198883
2,SASI1261,mtpu__,mt,248660.862690999987535,900709158.228000044822693
3,SASI1285,mt____,mt,52176.382735999999568,20645443.041000001132488
4,SASI1305,mtpu__,mt,260028.657214000006206,803266016.389000058174133
5,SASI1329,mtpu__,mt,53297.523414700001013,102209579.934000000357628
6,SASI1334,mtpu__,mt,157148.012786000006599,685515186.853000044822693
7,SASI1338,mtpu__,mt,222150.996843000000808,879828321.307000041007996
8,SASI1341,mtpu__,mt,6926.229352209999888,2479951.815239999908954
9,SASI1362,pa____,pa,87553.275654900004156,110914502.708000004291534
10,SASI1368,mtpu__,mt,105340.419328999996651,321214286.653999984264374
11,SASI1371,mtpu__,mt,118090.938815000001341,407861089.856999993324280
12,SASI1388,mtpu__,mt,34355.349549600003229,35277328.385200001299381
13,SASI1397,mtpu__,mt,50500.242028100001335,50948136.453199997544289
14,SASI1402,pa____,pa,308199.668050999986008,1013120472.679999947547913
15,SASI1416,mtpu__,mt,130750.608223999995971,480550017.438000023365021
16,SASI1417,mtpu__,mt,3758.191975209999782,526019.716877999948338
17,SASI1418,mtpu__,mt,3205.654809149999892,425871.388832999975421
18,SASI1439,mt____,mt,103053.700171999997110,396993377.018000006675720
19,SASI1477,mt____,mt,474735.718927000008989,3382884191.079999923706055
20,SASI1498,mtpu__,mt,183820.317608000012115,596098505.223000049591064
21,SASI1520,mt____,mt,532969.582727000000887,2466234912.739999771118164
22,SASI1533,pa__mt,pa,272236.633828999998514,1571196517.960000038146973
23,SASI1535,mtpu__,mt,19180.166000400000485,16968254.484999999403954
24,SASI1544,suad__,su,116180.797189999997499,523533787.620000004768372
25,SASI1545,mtpu__,mt,174043.352164999989327,1243055076.599999904632568
26,SASI1550,mt____,mt,536271.890628000022843,1395990782.089999914169312
27,SASI1564,mt____,mt,125898.419435000003432,398406733.101000010967255
28,SASI1582,mt____,mt,13865.121814300000551,6458651.416179999709129
29,SASI1596,mtpu__,mt,60052.440469699999085,118897741.550999999046326
30,SASI1606,mtpu__,mt,5090.383019699999750,770530.717408000025898
31,SASI1611,mt____,mt,40380.811204999998154,63174972.808600001037121
32,SASI1620,mt____,mt,12899.818211899999369,3384526.982470000162721
33,SASI1630,mt____,mt,277936.364048000017647,812475173.878000020980835
34,SASI1642,mt____,mt,65435.746131799998693,85352071.873400002717972
35,SASI1647,mt____,mt,25717.069833500001550,37018391.684000000357628
36,BGD1,wb____,wb,75560.745529799998621,142708808.006999999284744
37,BGD4,suss__,su,693963.585547000053339,4133167700.269999980926514
38,BGD5,wb____,wb,6442.533148090000395,944562.133227000012994
39,BGD8,wb____,wb,1194.412103809999962,64465.628535700001521
40,BGD9,suss__,su,391438.251214999996591,1493907587.359999895095825
41,BGD13,suss__,su,1070421.575810000067577,5156967481.329999923706055
42,BGD14,suad__,su,159346.709361999994144,48262675.261200003325939
43,BGD15,wb____,wb,8605.410627420000310,1817016.674439999973401
44,BGD16,suad__,su,16538.940485200000694,6295263.037949999794364
45,BGD18,suad__,su,37074.045209099997010,53094443.925499998033047
46,BGD19,suss__,su,346490.606547000003047,692168208.544999957084656
47,BGD22,suad__,su,27567.344705600000452,20925923.489700000733137
48,BGD24,wb____,wb,20692.641672000001563,6203791.758999999612570
49,BGD25,suad__,su,82480.522200399995199,57083881.806100003421307
50,BGD27,wb____,wb,26223.706885899999179,11698125.358899999409914
51,BGD28,wb____,wb,2363.861932369999977,388947.382151000027079
52,BGD29,wb____,wb,9403.000101150000773,1569398.470269999932498
53,BGD30,wb____,wb,2756.869570310000199,472668.855121999979019
54,BGD31,wb____,wb,9983.806806520000464,5624424.115109999664128
55,BGD33,suad__,su,261948.565120000013849,302741591.216000020503998
56,BGD34,suss__,su,3101.834896020000087,444110.627844000002369
57,BGD43,wb____,wb,3762.189906309999969,619701.965222000028007
58,BGD45,suad__,su,95400.088657200001762,33383931.322700001299381
59,BGD46,wb____,wb,39917.194133400000283,8418831.905700000002980
60,BGD47,suad__,su,10618.330727599999591,4897120.382939999923110
61,BGD50,suad__,su,5442.022381030000361,1765530.270010000094771
62,BGD51,wb____,wb,3215.702816609999900,548828.486658000038005
63,BGD57,wb____,wb,5403.936684139999670,993808.697183000040241
64,BGD58,suad__,su,6792.945048519999546,2707199.433749999850988
65,BGD60,suad__,su,10147.720763200000874,2213996.702000000048429
66,BGD61,wb____,wb,2586.837152049999986,286710.116602999973111
67,BGD62,suad__,su,4472.575106029999915,744565.925871000043117
68,BGD63,suad__,su,122078.347273999999743,45237091.493500001728535
69,BGD64,wb____,wb,8991.141146190000654,2051206.141839999938384
70,BGD65,wb____,wb,7437.097930089999863,1395632.150769999949262
71,BGD66,wb____,wb,2526.243647549999878,349992.282877999998163
72,BGD69,wb____,wb,2373.905361850000190,274114.056518999976106
73,BGD70,wb____,wb,14151.244675399999323,3111443.231560000218451
74,BGD72,suad__,su,8466.659126430000470,4504247.396839999593794
75,BGD76,suss__,su,4630.928417539999828,914475.158506999956444
76,BGD80,suad__,su,2761.996742050000194,306255.561948999995366
77,BGD82,suad__,su,37017.299952800000028,28403708.304800000041723
78,BGD85,suad__,su,40451.428944500003126,22310859.749099999666214
79,BGD86,wb____,wb,2292.250640419999854,295803.168844000028912
80,BGD87,suad__,su,10093.203576500000054,4390456.780349999666214
81,BGD89,wb____,wb,4394.612131490000138,715865.285935000050813
82,BGD90,suad__,su,5638.107407909999893,1396701.063460000092164
83,BGD91,wb____,wb,5631.822437679999894,1272309.291909999912605
84,BGD93,wb____,wb,2504.492433540000093,303519.433087999990676
85,BGD95,wb____,wb,52474.687330100001418,9700207.168929999694228
86,BGD96,wb____,wb,5961.458966449999934,827999.626035999972373
87,BGD97,suad__,su,2465.700212849999843,248830.619435000000522
88,BGD98,suad__,su,4223.392893070000355,558374.402470999979414
89,BGD102,suad__,su,7847.609655440000097,2806368.178139999974519
90,BGD103,suad__,su,2655.645264539999971,365471.458209000003990
91,BGD106,suad__,su,32101.021465400001034,6663435.840769999660552
92,BGD113,suad__,su,3351.353859219999777,600957.754584999987856
93,BGD114,suad__,su,11023.252567100000306,4299636.079619999974966
94,BGD118,wb____,wb,3375.800083749999885,762347.415673000039533
95,BGD120,suad__,su,7825.578014669999902,2121201.244770000223070
96,BGD121,wb____,wb,9020.845201300000554,1680890.615109999896958
97,BGD123,wb____,wb,3084.096495079999841,434110.693337999982759
98,BGD124,wb____,wb,13628.396793199999593,4728432.084640000015497
99,BGD125,wb____,wb,7299.759387449999849,2447790.066240000072867
100,BGD126,suad__,su,17099.225382900000113,7095024.857939999550581
101,BGD127,wb____,wb,4740.680627740000091,778158.251331000006758
102,BGD128,suad__,su,3167.240550250000069,408444.023082000028808
103,BGD132,suad__,su,22562.469084000000294,25061359.995099999010563
104,BGD133,wb____,wb,4528.039329399999588,1212582.536719999974594
105,BGD134,wb____,wb,6379.763477280000188,968376.681471999967471
106,BGD136,suad__,su,25745.417435399998794,14735584.881699999794364
107,BGD137,wb____,wb,2944.402852050000092,481406.512809999985620
108,BGD139,suad__,su,7319.424447270000201,2151928.538660000078380
109,BGD140,suad__,su,2259.152738119999867,305493.660572999971919
110,BGD141,suad__,su,16760.229201099999045,9774730.062109999358654
111,BGD143,suad__,su,4095.481492190000154,1037879.140739999944344
112,BGD144,suad__,su,6153.212006230000043,1383165.466779999900609
113,BGD148,suad__,su,3369.129122859999825,549504.336655999999493
114,BGD149,suad__,su,17346.830374599998322,9479637.193719999864697
115,BGD151,suad__,su,1502.637303960000054,117834.273151000001235
116,BGD153,suad__,su,25292.966504100000748,21710899.875999998301268
117,BGD154,wb____,wb,8982.115992830000323,1799800.582630000077188
118,BGD155,wb____,wb,22946.035815499999444,4444634.721309999935329
119,BGD156,suad__,su,1690.775942590000113,162661.129569999990053
120,BGD157,suad__,su,2653.447751810000227,351353.125583000015467
121,BGD158,suad__,su,148213.509767999988981,300461577.973999977111816
122,BGD160,suad__,su,3787.520525120000002,586895.570477999979630
123,BGD162,suad__,su,2521.266646860000037,431657.433720999979414
124,BGD163,suad__,su,31704.314502400000492,14193109.591800000518560
125,BGD165,wb____,wb,10090.676480599999195,1657497.447519999928772
126,BGD168,wb____,wb,3205.085509240000192,546101.749444999964908
127,BGD169,suad__,su,2974.788072549999924,393305.915166000020690
128,BGD172,suad__,su,22039.428005400000984,19369903.315299998968840
129,BGD174,suad__,su,4466.627362510000239,870400.346869000000879
130,BGD175,suad__,su,797487.446398000000045,2341571996.510000228881836
131,BGD176,sssh__,ss,119082.976550000006682,271008279.133000016212463
132,BGD177,suad__,su,3796.274457189999794,448151.524540000013076
133,BGD179,wb____,wb,4152.545650009999918,657035.249294999986887
134,BGD181,suad__,su,5721.000080169999819,1662256.908670000033453
135,BGD182,wb____,wb,3922.475742480000008,710606.476950000040233
136,BGD183,wb____,wb,2556.725146639999821,285544.911326000001281
137,BGD186,wb____,wb,3337.581605310000214,455723.719238999998197
138,BGD187,suad__,su,4126.734771419999561,693790.826194999972358
139,BGD190,suad__,su,6324.033545719999893,1696012.955649999901652
140,BGD191,wb____,wb,2616.165700110000216,419154.125544000009540
141,BGD193,suad__,su,13167.091451599999345,5671563.382360000163317
142,BGD194,wb____,wb,4278.304934640000283,601136.853651999961585
143,BGD195,suad__,su,2925.691906959999869,478876.152058999985456
144,BGD196,suad__,su,28908.570940300000075,20513026.484099999070168
145,BGD197,suad__,su,15743.540892000000895,2387316.319379999767989
146,BGD198,suad__,su,3664.092142359999798,441410.531003999989480
147,BGD199,wb____,wb,3028.134080639999866,408772.447096000018064
148,BGD200,suad__,su,4196.273172060000434,1048605.928860000101849
149,BGD201,suad__,su,2649.374858140000015,275720.896698000025935
150,BGD202,wb____,wb,2726.692010560000199,272391.846365000004880
151,BGD203,suad__,su,94031.216989599997760,73730792.430399999022484
152,BGD204,wb____,wb,17210.824999100001151,3845233.446930000092834
153,BGD205,suad__,su,6845.452974740000172,1941008.152449999935925
154,BGD206,wb____,wb,2533.525276070000018,340050.581766000017524
155,BGD207,suad__,su,4495.575476689999959,514798.809631999989506
156,BGD208,sssh__,ss,382901.557695000024978,2930399969.570000171661377
157,BGD209,suad__,su,2641.026895479999894,322504.879382000013720
158,BGD210,suad__,su,15604.428848899999139,9642229.344179999083281
159,BGD212,sssh__,ss,39049.326589299998886,56719694.448499999940395
160,BGD213,wb____,wb,4095.028455430000122,706269.773700000019744
161,BGD214,wb____,wb,2385.094391489999907,386285.021683999977540
162,BGD215,wb____,wb,3411.582510920000004,460400.277168000000529
163,BGD216,wb____,wb,2770.102324370000133,556682.600470999954268
164,BGD217,wb____,wb,3207.018872579999879,480130.432790999999270
165,BGD218,suad__,su,47567.017736499998136,75714012.941599994897842
166,BGD219,wb____,wb,2915.009061820000170,377097.145590999978594
167,BGD220,suad__,su,7460.129467220000151,2802299.878800000064075
168,BGD221,suad__,su,15290.954546700000719,7357118.504060000181198
169,BGD222,suad__,su,1693411.046139999991283,5950065551.180000305175781
170,BGD225,suad__,su,9759.971661039999162,2827700.057210000231862
171,BGD226,suad__,su,10158.057510900000125,2633302.491080000065267
172,BGD227,wb____,wb,6053.794021079999766,1205428.539520000107586
173,BGD228,wb____,wb,2450.088417800000116,363813.292389000009280
174,BGD229,suad__,su,61351.175789799999620,111817403.197999998927116
175,BGD232,suad__,su,38672.171327700001711,32241075.662999998778105
176,BGD233,suad__,su,4764.731239230000028,1389724.254220000002533
177,BGD234,suad__,su,173391.537502999999560,171197018.983000010251999
178,BGD236,suad__,su,9496.472691979999581,2314399.576290000230074
179,BGD260,suad__,su,11558.005362300000343,5278298.026829999871552
180,BGD261,suad__,su,21220.785869100000127,28938641.825500000268221
181,BGD263,wb____,wb,2232.813897080000061,263277.161869000003207
182,BGD267,suad__,su,324986.240440999972634,211322417.206000000238419
183,BGD268,wb____,wb,4014.817624669999987,619578.756126999971457
184,BGD288,wb____,wb,5801.487407710000298,1460162.613170000026003
185,BGD298,wb____,wb,3231.046888110000054,521361.784747999976389
186,BGD300,wb____,wb,4151.806937139999718,525227.860665000043809
187,BGD302,suad__,su,1709.994780400000081,112393.757448000003933
188,BGD306,suad__,su,3068.511922940000204,571534.478199000004679
189,BGD307,suad__,su,20720.615037999999913,18036108.458599999547005
190,BGD312,suad__,su,7777.213772320000317,2040831.807770000072196
191,BGD313,suad__,su,64696.332188899999892,79069416.895199999213219
192,BGD314,wb____,wb,18243.520632299998397,3327746.740619999822229
193,BGD318,suad__,su,8626.997052079999776,2865060.540039999876171
194,BGD325,wb____,wb,4951.718873210000311,987611.976436999975704
195,BGD329,suad__,su,4513.416457600000285,1119847.095239999936894
196,BGD336,suad__,su,61018.153564699998242,57471214.140600003302097
197,BGD349,suad__,su,4633.960172860000057,1343362.940960000036284
198,BGD352,wb____,wb,6879.269276760000139,1375856.787530000088736
199,BGD355,wb____,wb,4160.137722329999633,970364.371831999975257
200,BGD371,suad__,su,100516.269216999993660,299387012.524999976158142
201,BGD372,suad__,su,4502.186798830000043,1278881.543730000033975
202,BGD379,suad__,su,1899.700799360000019,184811.884709000005387
