FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
0,SASI1134,pa____,pa,63856.035402300003625,134882563.874000012874603
1,SASI1170,mtpu__,mt,24673.842222700001003,24136432.113099999725819
2,SASI1196,mt____,mt,99342.095174000001862,122126755.288000002503395
3,SASI1200,mt____,mt,87616.279959099992993,171808748.696000009775162
4,SASI1201,mt____,mt,707885.884964999975637,4015613611.960000038146973
5,SASI1226,mt____,mt,129359.951761000003899,596316953.054000020027161
6,SASI1231,suad__,su,110548.453703999999561,394315689.972000002861023
7,SASI1242,mtpu__,mt,1764.562618599999951,76188.780158299996401
8,SASI1244,mt____,mt,12027.641200199999730,7799916.358860000036657
9,SASI1245,mt____,mt,76054.067223200006993,163053073.462000012397766
10,SASI1247,pa__mt,pa,46063.673906500000157,84335809.111200004816055
11,SASI1248,wb____,wb,11756.807102099999611,3064535.309690000023693
12,SASI1256,mt____,mt,71970.603742199993576,197982377.981000006198883
13,SASI1258,mtpu__,mt,23536.742712200000824,30048630.058899998664856
14,SASI1261,mtpu__,mt,248660.862690999987535,900709158.228000044822693
15,SASI1262,mt____,mt,196283.223789999989094,1215227376.420000076293945
16,SASI1266,mt____,mt,4741.924953640000240,256701.678453000000445
17,SASI1278,suad__,su,154981.992112000007182,611486046.052000045776367
18,SASI1285,mt____,mt,52176.382735999999568,20645443.041000001132488
19,SASI1290,mtpu__,mt,339245.105489999987185,1320582569.349999904632568
20,SASI1295,ssmx__,ss,226264.459512000001268,356882074.859000027179718
21,SASI1296,mtpu__,mt,58176.378709299999173,130875625.271999999880791
22,SASI1299,mt____,mt,452710.890419000003021,3297726899.800000190734863
23,SASI1305,mtpu__,mt,260028.657214000006206,803266016.389000058174133
24,SASI1307,mt____,mt,203849.153790000011213,1010872808.779999971389771
25,SASI1308,suad__,su,340624.337232000019867,2928056868.510000228881836
26,SASI1329,mtpu__,mt,53297.523414700001013,102209579.934000000357628
27,SASI1334,mtpu__,mt,157148.012786000006599,685515186.853000044822693
28,SASI1336,pa____,pa,99129.957367900002282,438099045.574000000953674
29,SASI1338,mtpu__,mt,222150.996843000000808,879828321.307000041007996
30,SASI1341,mtpu__,mt,6926.229352209999888,2479951.815239999908954
31,SASI1351,mt____,mt,56175.074128300002485,177054240.993000000715256
32,SASI1352,mt____,mt,56676.840075599997363,45504871.134000003337860
33,SASI1357,mt____,mt,634272.016987000009976,2354726565.449999809265137
34,SASI1359,pa____,pa,262933.884753999998793,2451741776.420000076293945
35,SASI1368,mtpu__,mt,105340.419328999996651,321214286.653999984264374
36,SASI1371,mtpu__,mt,118090.938815000001341,407861089.856999993324280
37,SASI1374,mtpu__,mt,258329.369303000014042,2386925158.559999942779541
38,SASI1376,mt____,mt,165352.860467999998946,360484013.950999975204468
39,SASI1379,suad__,su,129092.923540999996476,638587606.500000000000000
40,SASI1381,mt____,mt,45305.760338699998101,123408371.784999996423721
41,SASI1384,mtpu__,mt,89552.945529100004933,250293776.895999997854233
42,SASI1387,pa____,pa,65780.869764699993539,223272585.328000009059906
43,SASI1388,mtpu__,mt,34355.349549600003229,35277328.385200001299381
44,SASI1390,mt____,mt,135727.393096999992849,383615973.013000011444092
45,SASI1397,mtpu__,mt,50500.242028100001335,50948136.453199997544289
46,SASI1398,pa____,pa,103204.296528000006219,279212606.763000011444092
47,SASI1399,mtpu__,mt,49936.328288899996551,142997222.060000002384186
48,SASI1402,pa____,pa,308199.668050999986008,1013120472.679999947547913
49,SASI1411,mt____,mt,706.888830634999977,8942.600665309999385
50,SASI1412,mtpu__,mt,41529.054748800001107,79052403.889599993824959
51,SASI1414,mt____,mt,510.273342716999991,3901.516201809999984
52,SASI1415,mt____,mt,58783.276701199996751,34477587.105099998414516
53,SASI1416,mtpu__,mt,130750.608223999995971,480550017.438000023365021
54,SASI1417,mtpu__,mt,3758.191975209999782,526019.716877999948338
55,SASI1418,mtpu__,mt,3205.654809149999892,425871.388832999975421
56,SASI1419,mtpu__,mt,3831.624330910000026,536123.123188000055961
57,SASI1424,pa____,pa,95312.503166099995724,216413100.060999989509583
58,SASI1425,mtpu__,mt,39193.703011999998125,91905618.449300006031990
59,SASI1426,suad__,su,31868.673182499998802,41636375.663300000131130
60,SASI1427,ssmx__,ss,43813.166775899997447,45144751.913699999451637
61,SASI1431,mtpu__,mt,209564.984827000007499,992352599.310999989509583
62,SASI1432,pa____,pa,89249.939001000006101,307800954.962999999523163
63,SASI1435,mtpu__,mt,36153.764979899999162,72856116.224800005555153
64,SASI1437,mtpu__,mt,36334.488163800000621,66065912.063799999654293
65,SASI1438,mtpu__,mt,39466.840375500003574,75941801.411899998784065
66,SASI1440,mtpu__,mt,281135.286040999984834,1034405901.970000028610229
67,SASI1443,suad__,su,19744.299435799999628,24890339.560600001364946
68,SASI1445,ssmx__,ss,48795.007499400002416,77338173.210099995136261
69,SASI1447,pa____,pa,181429.765123999997741,704330009.185999989509583
70,SASI1448,suad__,su,9400.179328059999534,5032619.327300000004470
71,SASI1449,ssmx__,ss,759768.379091999959201,2096865275.130000114440918
72,SASI1450,mtpu__,mt,31415.261609599998337,28352163.811700001358986
73,SASI1452,mtpu__,mt,15252.873775000000023,13848721.960200000554323
74,SASI1454,mtpu__,mt,54034.057474599998386,156717350.525000005960464
75,SASI1457,mtpu__,mt,146799.865939999988768,334364943.068000018596649
76,SASI1462,mt____,mt,123151.450698999993620,380793661.643999993801117
