Date	Discharge (m3/S)	Water Level mPWD	SSC (mg/l)
4/13/19	1357.40	5.24	22.82
4/29/19	1520.14	5.25	37.78
5/23/19	1755.34	6.58	43.10
6/11/19	1409.00	5.70	9.80
7/1/19	3002.96	7.63	31.02
7/15/19	10061.00	10.28	596.38
8/3/19	17674.29	11.86	527.21
8/17/19	21470.65	11.77	491.09
9/7/19	26552.03	12.23	794.17
9/24/19	41809.50	13.74	1229.08
10/1/19	48451.79	13.90	946.71
10/13/19	37491.93	13.67	669.73
11/4/19	11025.82	11.72	145.15
11/17/19	8842.31	9.24	134.73
12/26/19	4487.51	7.10	31.23
1/8/20	2976.82	6.67	13.77
1/23/20	2633.14	6.38	25.62
