,Qw(m3/s),Qs(kg/s),Qb(kg/s),CsBin1,CsBin2,CsBin3,CsBin4,vel(m/s),wid(m),dep(m),temp(deg.C),prec(m)
0,884.000 ,0.473 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.63034, 0.00000 
1,884.000 ,0.151 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.23071, 0.00001 
2,884.000 ,0.268 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.35250, 0.00002 
3,884.000 ,0.296 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.83328, 0.00007 
4,884.000 ,0.362 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.47083, 0.00009 
5,884.000 ,0.139 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.55325, 0.00008 
6,884.000 ,0.224 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.50896, 0.00042 
7,884.000 ,0.424 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.39959, 0.00003 
8,884.000 ,0.173 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.30176, 0.00001 
9,884.000 ,0.110 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.47531, 0.00061 
10,884.000 ,0.191 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,20.02793, 0.00039 
11,884.000 ,0.391 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,19.76821, 0.00001 
12,884.000 ,0.164 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.96393, 0.00001 
13,884.000 ,0.154 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,18.14663, 0.00000 
14,884.000 ,0.271 ,18.554 ,0.000,0.000,0.000,0.000 ,0.845,  1152.078,  0.908  ,17.46460, 0.00000 
