Date,Discharge (m3/s)
1/1/76,2410
1/2/76,2370
1/3/76,2320
1/4/76,2270
1/5/76,2180
1/6/76,2150
1/7/76,2130
1/8/76,2090
1/9/76,2040
1/10/76,1990
1/11/76,1960
1/12/76,1950
1/13/76,1940
1/14/76,1900
1/15/76,1860
1/16/76,1840
1/17/76,1830
1/18/76,1800
1/19/76,1770
1/20/76,1760
1/21/76,1730
1/22/76,1680
1/23/76,1640
1/24/76,1630
1/25/76,1610
1/26/76,1590
1/27/76,1590
1/28/76,1580
1/29/76,1520
1/30/76,1580
1/31/76,1630
2/1/76,1650
2/2/76,1610
2/3/76,1580
2/4/76,1560
2/5/76,1560
2/6/76,1550
2/7/76,1540
2/8/76,1550
2/9/76,1540
2/10/76,1510
2/11/76,1470
2/12/76,1420
2/13/76,1460
2/14/76,1460
2/15/76,1460
2/16/76,1480
2/17/76,1520
2/18/76,1540
2/19/76,1590
2/20/76,1570
2/21/76,1500
2/22/76,1420
2/23/76,1400
2/24/76,1360
2/25/76,1310
2/26/76,1290
2/27/76,1270
2/28/76,1260
2/29/76,1190
3/1/76,1130
3/2/76,1080
3/3/76,1020
3/4/76,988
3/5/76,988
3/6/76,996
3/7/76,979
3/8/76,959
3/9/76,945
3/10/76,908
3/11/76,883
3/12/76,874
3/13/76,857
3/14/76,826
3/15/76,809
3/16/76,809
3/17/76,792
3/18/76,775
3/19/76,761
3/20/76,736
3/21/76,727
3/22/76,727
3/23/76,719
3/24/76,699
3/25/76,702
3/26/76,705
3/27/76,688
3/28/76,668
3/29/76,657
3/30/76,659
3/31/76,679
4/1/76,710
4/2/76,696
4/3/76,696
4/4/76,710
4/5/76,713
4/6/76,696
4/7/76,716
4/8/76,744
4/9/76,758
4/10/76,747
4/11/76,736
4/12/76,722
4/13/76,716
4/14/76,710
4/15/76,727
4/16/76,727
4/17/76,716
4/18/76,710
4/19/76,719
4/20/76,741
4/21/76,767
4/22/76,775
4/23/76,767
4/24/76,747
4/25/76,716
4/26/76,705
4/27/76,716
4/28/76,727
4/29/76,744
4/30/76,767
5/1/76,792
5/2/76,809
5/3/76,846
5/4/76,911
5/5/76,968
5/6/76,1010
5/7/76,1020
5/8/76,1110
5/9/76,1220
5/10/76,1270
5/11/76,1310
5/12/76,1310
5/13/76,1290
5/14/76,1280
5/15/76,1290
5/16/76,1290
5/17/76,1310
5/18/76,1370
5/19/76,1470
5/20/76,1610
5/21/76,1590
5/22/76,1550
5/23/76,1540
5/24/76,1560
5/25/76,1570
5/26/76,1580
5/27/76,1580
5/28/76,1610
5/29/76,1620
5/30/76,1660
5/31/76,1660
6/1/76,1650
6/2/76,1670
6/3/76,1740
6/4/76,1750
6/5/76,1790
6/6/76,1910
6/7/76,2010
6/8/76,2090
6/9/76,2250
6/10/76,2610
6/11/76,2940
6/12/76,3080
6/13/76,3710
6/14/76,4810
6/15/76,5430
6/16/76,5890
6/17/76,6370
6/18/76,7020
6/19/76,6960
6/20/76,7470
6/21/76,7360
6/22/76,6820
6/23/76,6340
6/24/76,5800
6/25/76,5410
6/26/76,5120
6/27/76,5240
6/28/76,5630
6/29/76,5720
6/30/76,5800
7/1/76,6170
7/2/76,6910
7/3/76,8070
7/4/76,9480
7/5/76,11100
7/6/76,12200
7/7/76,12800
7/8/76,12700
7/9/76,12600
7/10/76,12300
7/11/76,12200
7/12/76,12800
7/13/76,13500
7/14/76,13900
7/15/76,14100
7/16/76,14300
7/17/76,14700
7/18/76,15100
7/19/76,16300
7/20/76,18500
7/21/76,19300
7/22/76,19200
7/23/76,19500
7/24/76,19500
7/25/76,19500
7/26/76,19200
7/27/76,19200
7/28/76,19500
7/29/76,19400
7/30/76,19100
7/31/76,19100
8/1/76,19300
8/2/76,20200
8/3/76,21400
8/4/76,23200
8/5/76,24400
8/6/76,24800
8/7/76,25400
8/8/76,25100
8/9/76,24600
8/10/76,24600
8/11/76,24900
8/12/76,26600
8/13/76,30000
8/14/76,32200
8/15/76,33500
